source,target,value
ITF 10.780273B HKD,Nil,211.056000
ITF 10.780273B HKD,General Support Programme,943.212000
ITF 10.780273B HKD,Enterprise Support Scheme,38.413000
ITF 10.780273B HKD,Innovation and Technology Support Programme,8746.118000
ITF 10.780273B HKD,University-Industry Collaboration Programme,335.785000
ITF 10.780273B HKD,Small Entrepreneur Research Assistance Programme,505.689000
General Support Programme,Hong Kong R&D Centre for Logistics and Supply Chain Management Enabling Technologies Limited,13
Nil,The Hong Kong Applied Science and Technology Research Institute Company Limited,23
General Support Programme,GS1 Hong Kong Limited,14
Nil,Automotive Parts and Accessory Systems R&D Centre,5
Innovation and Technology Support Programme,Hong Kong Science and Technology Parks Corporation,100
Small Entrepreneur Research Assistance Programme,Others,505
Innovation and Technology Support Programme,The Hong Kong Research Institute of Textiles and Apparel Limited,292
Innovation and Technology Support Programme,Nano and Advanced Materials Institute Limited,297
Nil,Nano and Advanced Materials Institute Limited,5
Innovation and Technology Support Programme,Innovation and Technology Commission,66
Innovation and Technology Support Programme,Hong Kong Plastic Machinery Association Limited,22
General Support Programme,Hong Kong Cyberport Management Company Limited,5
General Support Programme,Automotive Parts and Accessory Systems R&D Centre,10
General Support Programme,Others,189
Innovation and Technology Support Programme,Hong Kong Plastics Technology Centre Limited,13
Innovation and Technology Support Programme,Hong Kong Jewelry Manufacturers' Association,22
General Support Programme,Nano and Advanced Materials Institute Limited,33
Innovation and Technology Support Programme,Hong Kong Metal Finishing Society Limited,20
Innovation and Technology Support Programme,Universities,2885
General Support Programme,The Hong Kong Research Institute of Textiles and Apparel Limited,33
Nil,Universities,30
Innovation and Technology Support Programme,GS1 Hong Kong Limited,20
General Support Programme,Universities,495
Innovation and Technology Support Programme,Hong Kong Watch Manufacturers Association Limited,22
Enterprise Support Scheme,Others,38
Innovation and Technology Support Programme,The Hong Kong Applied Science and Technology Research Institute Company Limited,2862
University-Industry Collaboration Programme,Others,335
Nil,Hong Kong Institute of Biotechnology Limited,23
Innovation and Technology Support Programme,Hong Kong Institute of Biotechnology Limited,151
Innovation and Technology Support Programme,Others,755
General Support Programme,Hong Kong Institute of Biotechnology Limited,3
Nil,Others,10
Innovation and Technology Support Programme,Hong Kong Wireless Technology Industry Association Limited,18
General Support Programme,Hong Kong Science and Technology Parks Corporation,19
Innovation and Technology Support Programme,Hong Kong Productivity Council,611
General Support Programme,Innovation and Technology Commission,44
Nil,Hong Kong R&D Centre for Logistics and Supply Chain Management Enabling Technologies Limited,78
Nil,The Hong Kong Research Institute of Textiles and Apparel Limited,31
Innovation and Technology Support Programme,Hong Kong Cyberport Management Company Limited,70
General Support Programme,Hong Kong Productivity Council,38
Innovation and Technology Support Programme,Hong Kong R&D Centre for Logistics and Supply Chain Management Enabling Technologies Limited,339
General Support Programme,The Hong Kong Applied Science and Technology Research Institute Company Limited,39
Innovation and Technology Support Programme,Automotive Parts and Accessory Systems R&D Centre,173
Universities,The Hong Kong University of Science and Technology,746
Universities,Hong Kong Baptist University,68
Universities,The Hong Kong University of Science and Technology (Consortium),28
Universities,The University of Hong Kong,556
Universities,The Chinese University of Hong Kong,1048
Universities,City University of Hong Kong,351
Universities,The Hong Kong Polytechnic University,613
