source,target,value
"創新及科技基金106億","無",211.056000
"創新及科技基金106億","一般支援計劃",715.997000
"創新及科技基金106億","企業支援計劃",38.413000
"創新及科技基金106億","創新及科技支援計劃",8752.503000
"創新及科技基金106億","大學與產業合作計劃",335.785000
"創新及科技基金106億","小型企業研究資助計劃",504.616000
"一般支援計劃","香港物流及供應鏈管理應用技術研發中心",13
"無","香港應用科技研究院",23
"一般支援計劃","香港貨品編碼協會",14
"無","汽車零部件研究及發展中心",5
"創新及科技支援計劃","香港科技園公司",100
"小型企業研究資助計劃","其他",504
"創新及科技支援計劃","香港紡織及成衣研發中心",292
"創新及科技支援計劃","納米及先進材料研發院有限公司",297
"無","納米及先進材料研發院有限公司",5
"創新及科技支援計劃","創新科技署",66
"創新及科技支援計劃","香港塑膠機械協會有限公司",22
"一般支援計劃","香港數碼港管理有限公司",5
"一般支援計劃","汽車零部件研究及發展中心",11
"一般支援計劃","其他",189
"創新及科技支援計劃","香港塑膠科技中心有限公司",19
"創新及科技支援計劃","香港珠寶製造業廠商會有限公司",22
"一般支援計劃","納米及先進材料研發院有限公司",33
"創新及科技支援計劃","香港金屬表面處理學會有限公司",20
"創新及科技支援計劃","大學",2885
"一般支援計劃","香港紡織及成衣研發中心",34
"無","大學",30
"創新及科技支援計劃","香港貨品編碼協會",20
"一般支援計劃","大學",266
"創新及科技支援計劃","香港表廠商會有限公司",22
"企業支援計劃","其他",38
"創新及科技支援計劃","香港應用科技研究院",2862
"大學與產業合作計劃","其他",335
"無","香港生物科技研究院",23
"創新及科技支援計劃","香港生物科技研究院",151
"創新及科技支援計劃","其他",755
"一般支援計劃","香港生物科技研究院",3
"無","其他",10
"創新及科技支援計劃","香港無線科技商會有限公司",18
"一般支援計劃","香港科技園公司",19
"創新及科技支援計劃","香港生產力促進局",611
"一般支援計劃","創新科技署",44
"無","香港物流及供應鏈管理應用技術研發中心",78
"無","香港紡織及成衣研發中心",31
"創新及科技支援計劃","香港數碼港管理有限公司",70
"一般支援計劃","香港生產力促進局",38
"創新及科技支援計劃","香港物流及供應鏈管理應用技術研發中心",339
"一般支援計劃","香港應用科技研究院",39
"創新及科技支援計劃","汽車零部件研究及發展中心",173
"大學","香港科技大學",746
"大學","香港浸會大學",68
"大學","香港科技大學 (Consortium)",28
"大學","香港大學",556
"大學","香港中文大學",817
"大學","香港城市大學",351
"大學","香港理工大學",613
