date,value
1994-03,0.520495
1994-04,3.602595
1994-05,3.659654
1994-06,4.229385
1994-07,5.389751
1994-08,6.806362
1994-09,7.317637
1994-10,7.923920
1994-11,8.235031
1994-12,8.342531
1995-01,8.526720
1995-02,8.639406
1995-03,9.442245
1995-04,10.182176
1995-05,10.440076
1995-06,10.977791
1995-07,12.497752
1995-08,12.807594
1995-09,13.166348
1995-10,12.998768
1995-11,14.040745
1995-12,13.773333
1996-01,14.334729
1996-02,14.938862
1996-03,15.289182
1996-04,15.703788
1996-05,15.915816
1996-06,17.250341
1996-07,19.364407
1996-08,19.690164
1996-09,20.150001
1996-10,20.076647
1996-11,20.162767
1996-12,20.479434
1997-01,20.572814
1997-02,19.459485
1997-03,19.346187
1997-04,18.140726
1997-05,18.450791
1997-06,18.588366
1997-07,19.738899
1997-08,19.898058
1997-09,20.392202
1997-10,20.146895
1997-11,20.418019
1997-12,20.980188
1998-01,21.483026
1998-02,22.514145
1998-03,22.753298
1998-04,21.824543
1998-05,21.375785
1998-06,21.666279
1998-07,24.228163
1998-08,23.176668
1998-09,24.659357
1998-10,24.584064
1998-11,25.335861
1998-12,25.893162
1999-01,27.518361
1999-02,28.171883
1999-03,27.460986
1999-04,26.508805
1999-05,26.162210
1999-06,25.818482
1999-07,24.380782
1999-08,26.003697
1999-09,28.910291
1999-10,30.950106
1999-11,31.044010
1999-12,30.856189
2000-01,29.833979
2000-02,29.426429
2000-03,29.267853
2000-04,28.289678
2000-05,28.797708
2000-06,29.113567
2000-07,28.535040
2000-08,27.834025
2000-09,28.309826
2000-10,29.265349
2000-11,28.068711
2000-12,29.089023
2001-01,28.550004
2001-02,27.534241
2001-03,27.602964
2001-04,27.065296
2001-05,27.145843
2001-06,28.131237
2001-07,26.524505
2001-08,26.322937
2001-09,25.917960
2001-10,24.917332
2001-11,24.326731
2001-12,24.346229
2002-01,23.002943
2002-02,22.776085
2002-03,24.451817
2002-04,24.970194
2002-05,24.986419
2002-06,24.654248
2002-07,24.639772
2002-08,24.329991
2002-09,23.641218
2002-10,22.705187
2002-11,24.545221
2002-12,25.500275
2003-01,27.864393
2003-02,28.025762
2003-03,27.575774
2003-04,28.308775
2003-05,28.415599
2003-06,31.951322
2003-07,30.232384
2003-08,32.522298
2003-09,35.375553
2003-10,35.964205
2003-11,36.812035
2003-12,39.409482
2004-01,39.143175
2004-02,37.051790
2004-03,37.444918
2004-04,39.248900
2004-05,38.195994
2004-06,37.306655
2004-07,37.662129
2004-08,36.582134
2004-09,37.480260
2004-10,36.071984
2004-11,35.988097
2004-12,35.444046
2005-01,34.517053
2005-02,35.186530
2005-03,33.589825
2005-04,32.217761
2005-05,30.872233
2005-06,29.419783
2005-07,29.889800
2005-08,27.976301
2005-09,27.420055
2005-10,27.059671
2005-11,26.770718
2005-12,28.604561
2006-01,29.999046
2006-02,29.279005
2006-03,29.556038
2006-04,29.964894
2006-05,30.257476
2006-06,30.147518
2006-07,31.353160
2006-08,29.554961
2006-09,30.258036
2006-10,28.055748
2006-11,30.911152
2006-12,32.265899
2007-01,30.969212
2007-02,31.552488
2007-03,33.085257
2007-04,33.476368
2007-05,32.955251
2007-06,33.854590
2007-07,33.370136
2007-08,35.082671
2007-09,35.767419
2007-10,36.525535
2007-11,35.651693
2007-12,37.264168
2008-01,36.909601
2008-02,37.950752
2008-03,37.952134
2008-04,38.312341
2008-05,40.569017
2008-06,42.354310
2008-07,44.150484
2008-08,44.302156
2008-09,44.005757
2008-10,43.595712
2008-11,43.981061
2008-12,42.913458
2009-01,40.697093
2009-02,41.878228
2009-03,43.959853
2009-04,45.728908
2009-05,46.266054
2009-06,49.020830
2009-07,49.921731
2009-08,47.888712
2009-09,49.574650
2009-10,50.965428
2009-11,52.328303
2009-12,53.666589
2010-01,51.165966
2010-02,52.787404
2010-03,56.482298
2010-04,55.869462
2010-05,57.976169
2010-06,58.202710
2010-07,60.831955
2010-08,61.458379
2010-09,62.354743
2010-10,60.941787
2010-11,63.687926
2010-12,63.822223
2011-01,66.142654
2011-02,66.752296
2011-03,66.693321
2011-04,62.494845
2011-05,60.029230
2011-06,54.443477
2011-07,54.222106
2011-08,56.130987
2011-09,52.907176
2011-10,49.822699
2011-11,49.994471
2011-12,51.292474
2012-01,49.944037
2012-02,48.520495
2012-03,49.223176
2012-04,48.739324
2012-05,49.208628
2012-06,50.864076
2012-07,51.432484
2012-08,49.332120
2012-09,45.754144
2012-10,48.304359
2012-11,48.151260
2012-12,44.371448
2013-01,46.266763
2013-02,44.951482
2013-03,49.579035
2013-04,51.474336
2013-05,50.811693
2013-06,50.130885
2013-07,54.887384
2013-08,56.380227
2013-09,55.344458
2013-10,54.463008
2013-11,54.590365
2013-12,56.238103
2014-01,54.050865
2014-02,52.466899
2014-03,58.906379
2014-04,60.542993
2014-05,63.940438
2014-06,66.021130
2014-07,66.353311
2014-08,67.527541
2014-09,65.151647
2014-10,65.319627
2014-11,64.392431
2014-12,63.364763
2015-01,64.276727
2015-02,62.643083
2015-03,71.865516
2015-04,72.372710
2015-05,69.830655
2015-06,71.442555
2015-07,69.904319
2015-08,70.065976
2015-09,74.185729
2015-10,74.602340
2015-11,75.152784
2015-12,74.652119
2016-01,77.176802
2016-02,77.252856
2016-03,81.107741
2016-04,75.529571
2016-05,72.740089
2016-06,71.890309
2016-07,66.923632
2016-08,62.532258
2016-09,59.494106
2016-10,51.679522
2016-11,49.546655
2016-12,45.367261
2017-01,42.296653
2017-02,38.336182
2017-03,36.734023
2017-04,30.529149
2017-05,27.833101
2017-06,26.029096
2017-07,23.206702
2017-08,20.219843
2017-09,17.385662
2017-10,12.343029
2017-11,10.480492
2017-12,8.233377
2018-01,6.523094
2018-02,5.707256
2018-03,4.918959
2018-04,3.641727
2018-05,1.983125
2018-06,1.210736
2018-07,0.652500
