title,coordinator,period,reference,programme,institute,organization,fund
Establishment of a Telecommunications Product Technology Development Centre,Mr Tai-che LEUNG,30/4/1994 - 21/7/2000,AF/026/94,Innovation and Technology Support Programme,Others,Hong Kong Productivity Council,83.9
Establishment of Hong Kong Integrated Circuits (IC) Development Support Centre,Mr Peter YEUNG,1/9/2003 - 21/3/2005,ITS/001/03,Innovation and Technology Support Programme,Others,Hong Kong Science and Technology Parks Corporation,57.859
Institute of NanoMaterials and NanoTechnology (INMT) : Development of Functional Nanomaterials and Technologies,Prof Ka-ming NG,1/6/2003 - 30/9/2007,ITS/069/02,Innovation and Technology Support Programme,Others,The Hong Kong University of Science and Technology,56.911
Cyberport Digital Entertainment Incubation-cum-Training Centre,Dr David CHUNG,1/10/2005 - 31/1/2012,ITS/002/05,Innovation and Technology Support Programme,Others,Hong Kong Cyberport Management Company Limited,55.97
Develop Technologies and Facilities to Design and Build Mechanical Watch Movements,Prof Ruxu DU,1/1/2006 - 31/8/2009,ITS/001/05,Innovation and Technology Support Programme,Others,The Chinese University of Hong Kong,54.0
Immediate Action Package (9 Environmental Projects),Mr Lawrence LAM,1/4/1994 - 30/9/1997,AF/201/94,Innovation and Technology Support Programme,Others,Innovation and Technology Commission,39.75
Manufacturing Technology Centre for Human Vaccines and Pharmaceuticals,Dr Simon C. W. KWONG,1/7/1996 - 30/6/1999,AF/045/96,Innovation and Technology Support Programme,Others,Hong Kong Institute of Biotechnology Limited,36.265
Establishment of a Rapid Prototyping Technology Centre,Mr Li-man LI,1/8/1994 - 31/3/1998,AF/035/94,Innovation and Technology Support Programme,Others,Hong Kong Productivity Council,29.85
Establishment of an Electro-Magnetic Compatibility (EMC) Compliance Engineering Centre,Mr Peter On-bon CHAN,3/8/1995 - 31/7/1998,AF/106/95,Innovation and Technology Support Programme,Others,Hong Kong Productivity Council,26.41
GMP Product Development and Technical Support Platform for Traditional Oral Solid Proprietary Chinese Medicine Products,Prof Christopher H K CHENG,1/8/2015 - 31/7/2018,IBF/014,Nil,Others,Hong Kong Institute of Biotechnology Limited,23.49
Next Generation Small Cells,Dr Eric Kong-Chau TSANG,31/3/2016 - 30/9/2017,ART/213CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,22.996
Virtualization for 4G and Beyond Mobile Networks (NFV),Mr Ka-Ho Alex MUI,30/9/2015 - 29/9/2017,ART/203CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,22.578
Ultimate e-Book for e-Learning,Dr Shen-chang CHAO,1/7/2010 - 30/6/2012,ART/094CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,20.981
65nm Multimedia Full-HD SoC Development Platform,Dr Shen-chang CHAO,19/7/2010 - 19/7/2012,ART/096CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,20.977
High Efficient Video Post Processing Silicon IP for Digital TV,Dr Shen-chang CHAO,1/9/2010 - 1/9/2013,ART/097CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,20.779
Cyber Security Research & Practice Platform for Financial Services,Dr Edward LOR,1/1/2016 - 30/6/2017,ART/208CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,20.761
Visual Signal Processing Technology for Emerging 3D Applications,Dr Shen-chang CHAO,1/7/2010 - 30/9/2012,ART/093CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,19.979
Reconfigurable RF,Mr Corbett Ray ROWELL,1/11/2010 - 31/10/2012,ART/102CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,19.95
Self-organizing and Coordinated LTE Small Cells,Dr Eric Kong-Chau TSANG,24/4/2014 - 23/10/2015,ART/176CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,19.852
Dual-mode TD-LTE/TD-SCDMA RFIC Transceiver,Mr Bill Weimin ZHANG,21/6/2010 - 20/12/2012,ART/086CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,19.836
Development of Intelligent eBus with Light Body Structure and High Efficient Traction Motor System,Dr Lawrence Chi-kin POON,1/8/2013 - 30/11/2015,ITP/017/13AI,Innovation and Technology Support Programme,Others,Others,19.168
Multi-Standards H.264/AVS/MPEG2 Low Cost High Performance Full HD Video Decoder SoC (Bare-Bone-SoC),Dr Shen-chang CHAO,23/6/2009 - 22/9/2011,ART/062CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,18.484
Development of Key Technologies for CIGS Solar Cells: H2Se-free Selenization and Precise Chemical Bath Deposition,Dr Paul HO,12/7/2010 - 31/1/2014,ITP/019/10NI,Innovation and Technology Support Programme,Others,Nano and Advanced Materials Institute Limited,18.388
LTE-Advanced RF Transceiver Chip,Mr Bill Weimin ZHANG,22/9/2014 - 21/3/2016,ART/183CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,18.117
60 GHz RFIC Transceiver for Short Range Instant Massive Data Sharing,Prof Quan XUE,1/6/2013 - 29/2/2016,ITS/144/12FP,Innovation and Technology Support Programme,Others,City University of Hong Kong,18.0
LCD TV Display Enhancement Controller (LDEC),Mr Yiu-kei LI,1/6/2010 - 29/8/2012,ART/091CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,17.987
Research on Multi-Junction Silicon-Based Thin Film Solar Cells for Conversion Efficiency Improvement,Dr Paul HO,18/1/2013 - 17/8/2014,ITP/044/12NI,Innovation and Technology Support Programme,Others,Others,17.594
Cost-effective TDD/FDD LTE RF Transceiver,Mr Bill Weimin ZHANG,10/10/2012 - 9/10/2014,ART/137CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,17.588
3D Wafer-Level Packaging (3D-WLP) Technologies for Low-Cost CMOS Image Sensor (CIS),Dr Enboa WU,1/12/2010 - 30/11/2012,ART/104CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,17.54
High Speed Integrated Circuits for Optical Fiber Communication (ICOFC),Dr Keh-chung WANG,15/11/2010 - 14/3/2013,ART/108CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,17.453
Access Gateway Platform for LTE Access Networks (LTE-AGW),Mr Jiadong OU,25/1/2011 - 25/11/2012,ART/110CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,17.228
SSD Controller SoC with Super Speed USB3.0 (SCSU),Mr Yiu-kei LI,15/11/2010 - 15/8/2012,ART/107CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,17.032
Hardware Accelerated Super-Resolution Technology (HAST),Mr Yiu-kei LI,17/7/2012 - 16/8/2014,ART/128CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,16.603
Open Research Platform for Learning Management System,Dr Shen-chang CHAO,1/12/2010 - 30/11/2012,ART/109CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,16.468
Telehealth Technology Platform,Dr I-Sheng TANG,30/12/2011 - 30/3/2014,ART/127CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,16.267
LTE Release 9 Evolution and Performance Enhancement,Dr Eric Kong-Chau TSANG,26/7/2011 - 25/1/2013,ART/118CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,16.225
Development of Noninvasive Prenatal Diagnostic Service for Chromosomal Aneuploidies in Hong Kong,Prof Rossa Wai-kwun CHIU,1/3/2014 - 31/8/2014,ITS/095/13FP,Innovation and Technology Support Programme,Others,The Chinese University of Hong Kong,16.0
System-on-Chip for Next Generation Bluetooth Low Energy,Mr Bill Weimin ZHANG,1/3/2016 - 31/8/2017,ART/212CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,15.84
Android Digital HomeTechnology Platform,Dr Shen-chang CHAO,16/8/2010 - 15/8/2012,ART/099CP,Innovation and Technology Support Programme,Others,The Hong Kong Applied Science and Technology Research Institute Company Limited,15.818
Mobile Multi-media Application Processor,Mr Yiu-kei LI,15/1/2011 - 14/5/2011,ART/115CI,Innovation and Technology Support Programme,Others,Others,15.77
Multi-Role Configurable USB 3.0 Application Processor,Mr Yiu-kei LI,15/5/2010 - 31/12/2011,ART/088CI,Innovation and Technology Support Programme,Others,Others,15.75
