date,value
1994-03,2.721429
1994-04,25.651857
1994-05,25.790429
1994-06,27.567857
1994-07,32.555571
1994-08,41.467714
1994-09,43.253286
1994-10,45.421000
1994-11,46.906714
1994-12,47.029571
1995-01,47.744857
1995-02,48.017429
1995-03,51.107429
1995-04,54.487429
1995-05,57.457000
1995-06,59.767714
1995-07,66.981286
1995-08,70.139000
1995-09,71.538143
1995-10,71.389286
1995-11,73.862571
1995-12,73.324429
1996-01,75.386429
1996-02,76.894571
1996-03,78.357429
1996-04,80.756429
1996-05,82.787714
1996-06,89.013429
1996-07,99.431143
1996-08,100.377714
1996-09,103.155143
1996-10,102.510143
1996-11,102.855286
1996-12,103.362429
1997-01,103.265000
1997-02,100.854857
1997-03,100.620429
1997-04,94.766857
1997-05,95.698857
1997-06,96.642429
1997-07,102.863714
1997-08,103.471571
1997-09,105.822000
1997-10,102.953143
1997-11,103.066857
1997-12,105.035286
1998-01,107.139000
1998-02,110.047714
1998-03,111.302286
1998-04,106.310714
1998-05,104.899429
1998-06,106.176429
1998-07,118.607000
1998-08,112.026571
1998-09,117.381714
1998-10,116.321000
1998-11,118.604000
1998-12,120.892714
1999-01,128.640143
1999-02,130.767429
1999-03,129.125143
1999-04,127.700429
1999-05,126.914571
1999-06,125.868143
1999-07,119.885000
1999-08,124.134286
1999-09,133.053857
1999-10,143.832571
1999-11,143.886429
1999-12,143.213857
2000-01,138.864857
2000-02,137.666000
2000-03,136.289857
2000-04,131.888857
2000-05,133.552286
2000-06,134.950143
2000-07,131.561714
2000-08,119.827714
2000-09,121.008286
2000-10,124.829000
2000-11,121.334286
2000-12,123.604429
2001-01,123.564286
2001-02,120.488857
2001-03,120.090286
2001-04,119.667143
2001-05,119.474857
2001-06,122.941000
2001-07,114.663143
2001-08,113.601714
2001-09,112.407857
2001-10,109.346857
2001-11,107.434857
2001-12,107.280857
2002-01,102.919143
2002-02,103.905286
2002-03,109.496143
2002-04,113.924429
2002-05,114.711286
2002-06,112.954571
2002-07,111.856429
2002-08,111.168286
2002-09,108.741143
2002-10,103.684571
2002-11,106.430143
2002-12,109.324857
2003-01,115.417000
2003-02,116.190714
2003-03,114.431429
2003-04,115.892429
2003-05,116.048000
2003-06,131.784571
2003-07,130.486000
2003-08,135.687857
2003-09,142.763143
2003-10,144.563286
2003-11,146.532571
2003-12,152.385143
2004-01,148.205000
2004-02,142.004143
2004-03,141.955286
2004-04,144.476429
2004-05,140.842857
2004-06,137.828000
2004-07,137.688429
2004-08,135.729571
2004-09,135.380857
2004-10,131.958429
2004-11,130.143286
2004-12,129.115000
2005-01,125.213571
2005-02,123.058286
2005-03,119.894571
2005-04,115.216286
2005-05,112.737143
2005-06,108.619571
2005-07,110.658857
2005-08,105.926714
2005-09,102.537000
2005-10,105.948143
2005-11,105.585143
2005-12,109.463000
2006-01,117.153143
2006-02,115.239714
2006-03,117.431857
2006-04,115.643571
2006-05,116.214429
2006-06,116.631143
2006-07,119.644571
2006-08,113.133143
2006-09,112.006000
2006-10,104.951714
2006-11,111.584571
2006-12,114.479714
2007-01,110.762571
2007-02,111.407857
2007-03,116.095286
2007-04,117.648429
2007-05,114.754714
2007-06,118.597857
2007-07,116.764143
2007-08,120.732000
2007-09,121.478143
2007-10,117.118143
2007-11,113.764714
2007-12,117.093143
2008-01,115.975714
2008-02,116.545714
2008-03,120.466286
2008-04,121.795429
2008-05,129.325143
2008-06,135.230857
2008-07,141.547857
2008-08,141.670429
2008-09,141.859429
2008-10,140.891857
2008-11,141.303571
2008-12,137.091429
2009-01,133.883143
2009-02,135.022571
2009-03,141.366429
2009-04,146.150000
2009-05,148.078571
2009-06,155.830714
2009-07,158.302429
2009-08,153.622714
2009-09,153.852143
2009-10,158.609571
2009-11,163.946857
2009-12,164.938000
2010-01,158.601286
2010-02,164.346143
2010-03,176.427143
2010-04,175.740143
2010-05,182.196286
2010-06,184.623286
2010-07,194.794429
2010-08,199.635714
2010-09,200.860857
2010-10,196.524857
2010-11,206.314714
2010-12,209.594286
2011-01,207.806714
2011-02,209.244571
2011-03,208.621714
2011-04,195.437286
2011-05,188.569000
2011-06,182.797000
2011-07,182.203714
2011-08,183.263286
2011-09,176.703143
2011-10,166.060571
2011-11,165.379571
2011-12,171.345429
2012-01,167.625857
2012-02,159.008857
2012-03,161.920143
2012-04,159.068714
2012-05,160.267286
2012-06,165.462714
2012-07,165.652143
2012-08,156.495143
2012-09,144.269857
2012-10,150.423857
2012-11,147.302143
2012-12,137.738286
2013-01,141.065857
2013-02,138.755571
2013-03,149.495571
2013-04,153.779286
2013-05,151.651000
2013-06,153.572429
2013-07,164.947714
2013-08,170.076143
2013-09,169.380286
2013-10,167.251571
2013-11,168.237429
2013-12,172.244143
2014-01,170.081143
2014-02,164.797714
2014-03,179.383429
2014-04,182.678143
2014-05,191.790143
2014-06,196.252714
2014-07,195.164000
2014-08,197.192286
2014-09,193.162857
2014-10,193.981714
2014-11,191.715714
2014-12,189.264714
2015-01,195.298429
2015-02,188.469286
2015-03,212.610000
2015-04,212.711286
2015-05,206.357143
2015-06,208.655714
2015-07,203.048857
2015-08,204.561429
2015-09,212.221571
2015-10,214.161429
2015-11,215.860000
2015-12,213.292143
2016-01,219.495857
2016-02,220.191857
2016-03,225.139429
2016-04,209.081143
2016-05,197.627000
2016-06,187.043143
2016-07,173.262000
2016-08,159.359714
2016-09,152.053286
2016-10,131.172286
2016-11,125.136714
2016-12,114.351143
2017-01,107.127000
2017-02,95.349000
2017-03,91.285143
2017-04,79.029571
2017-05,71.070714
2017-06,66.097286
2017-07,58.685571
2017-08,50.774286
2017-09,42.786429
2017-10,27.709714
2017-11,22.123000
2017-12,15.794143
2018-01,11.036143
2018-02,9.544286
2018-03,7.192571
2018-04,5.568571
2018-05,3.741000
2018-06,3.741000
2018-07,3.355714
